name,year,rating,director,oscar_award,oscar_01
La La Land,2016,5.0,Damien Chazelle,Won 6 Oscars,1
Oppenheimer,2023,5.0,Christopher Nolan,Won 7 Oscars,1
Joker,2019,5.0,Todd Phillips,Won 2 Oscars,1
Spider-Man: Into the Spider-Verse,2018,5.0,Peter Ramsey / Rodney Rothman / Bob Persichetti,Won 1 Oscar,1
Whiplash,2014,5.0,Damien Chazelle,Won 3 Oscars,1
The Batman,2022,5.0,Matt Reeves,,0
The Dark Knight,2008,5.0,Christopher Nolan,Won 2 Oscars,1
Inception,2010,5.0,Christopher Nolan,Won 4 Oscars,1
Spider-Man: Across the Spider-Verse,2023,5.0,Joaquim Dos Santos / Kemp Powers / Justin K. Thompson,,0
Dune: Part Two,2024,5.0,Denis Villeneuve,,0
Se7en,1995,5.0,David Fincher,,0
Shutter Island,2010,5.0,Martin Scorsese,,0
Blade Runner 2049,2017,5.0,Denis Villeneuve,Won 2 Oscars,1
Good Will Hunting,1997,5.0,Gus Van Sant,Won 2 Oscars,1
Star Wars,1977,5.0,George Lucas,Won 7 Oscars,1
The Empire Strikes Back,1980,5.0,Irvin Kershner,Won 2 Oscars,1
The Prestige,2006,5.0,Christopher Nolan,,0
Psycho,1960,5.0,Alfred Hitchcock,,0
The Whale,2022,5.0,Darren Aronofsky,,0
Star Wars: Episode III – Revenge of the Sith,2005,5.0,George Lucas,,0
Return of the Jedi,1983,5.0,Richard Marquand,Won Special Achievement Oscar,1
Tangled,2010,5.0,Nathan Greno / Byron Howard,,0
Rogue One: A Star Wars Story,2016,5.0,Gareth Edwards,,0
A Star Is Born,2018,5.0,Bradley Cooper,,0
Mulan,1998,5.0,Tony Bancroft & Barry Cook,,0
Parasite,2019,5.0,Bong Joon-ho,Won 4 Oscars,1
Interstellar,2014,5.0,Christopher Nolan,Won 1 Oscar,1
The Wild Robot,2024,5.0,,,0
Warrior,2011,5.0,Gavin O'Connor,,0
Arrival,2016,5.0,Denis Villeneuve,Won 1 Oscar,1
Flushed Away,2006,5.0,David Bowers / Sam Fell,Won 1 Oscar,1
Radio,2003,5.0,Michael Tollin,,0
The Lord of the Rings: The Two Towers,2002,5.0,Peter Jackson,Won 2 Oscars,1
The Lord of the Rings: The Fellowship of the Ring,2001,5.0,Peter Jackson,Won 4 Oscars,1
