name,year,rating,director,oscar_award,oscar_01
Barbie,2023,4.0,,,0
Everything Everywhere All at Once,2022,4.0,Daniel Kwan & Daniel Scheinert,Won 4 Oscars,1
Dune,2021,4.0,Denis Villeneuve,Won 1 Oscar,1
The Wolf of Wall Street,2013,4.0,Martin Scorsese,,0
American Psycho,2000,4.0,Mary Harron,,0
Spider-Man: No Way Home,2021,4.0,Jon Watts,,0
Avengers: Infinity War,2018,4.0,Anthony & Joe Russo,,0
Ratatouille,2007,4.0,Brad Bird,Won 1 Oscar,1
Avatar: The Way of Water,2022,4.0,James Cameron,Won 4 Oscars,1
Guardians of the Galaxy Vol. 3,2023,4.0,James Gunn,,0
Top Gun: Maverick,2022,4.0,Joseph Kosinski,Won 6 Oscars,1
Mad Max: Fury Road,2015,4.0,George Miller,Won 6 Oscars,1
Deadpool,2016,4.0,Tim Miller,,0
WALL·E,2008,4.0,Andrew Stanton,Won 1 Oscar,1
Thor: Ragnarok,2017,4.0,Taika Waititi,,0
Dunkirk,2017,4.0,Christopher Nolan,Won 3 Oscars,1
Tenet,2020,4.0,Christopher Nolan,Won 1 Oscar,1
A Quiet Place,2018,4.0,John Krasinski,Won 1 Oscar,1
The Incredibles,2004,4.0,Brad Bird,Won 2 Oscars,1
Iron Man,2008,4.0,Jon Favreau,,0
Wonka,2023,4.0,Paul King,,0
The Super Mario Bros. Movie,2023,4.0,Aaron Horvath & Michael Jelenic,,0
Finding Nemo,2003,4.0,Andrew Stanton,Won 1 Oscar,1
The Dark Knight Rises,2012,4.0,Christopher Nolan,,0
John Wick,2014,4.0,Chad Stahelski,,0
Batman Begins,2005,4.0,Christopher Nolan,,0
Harry Potter and the Goblet of Fire,2005,4.0,Mike Newell,,0
Star Wars: The Force Awakens,2015,4.0,J.J. Abrams,,0
Harry Potter and the Chamber of Secrets,2002,4.0,Chris Columbus,,0
Captain America: The Winter Soldier,2014,4.0,Anthony & Joe Russo,,0
The Lion King,1994,4.0,Rob Minkoff / Roger Allers,Won 2 Oscars,1
Babylon,2022,4.0,Damien Chazelle,,0
Avengers: Age of Ultron,2015,4.0,Joss Whedon,,0
Split,2016,4.0,M. Night Shyamalan,,0
Harry Potter and the Order of the Phoenix,2007,4.0,David Yates,,0
Star Wars: The Last Jedi,2017,4.0,Rian Johnson,,0
Shrek 2,2004,4.0,Andrew Adamson / Kelly Asbury / Conrad Vernon,Won 1 Oscar,1
Harry Potter and the Deathly Hallows: Part 1,2010,4.0,David Yates,,0
The Amazing Spider-Man,2012,4.0,Marc Webb,,0
Toy Story 3,2010,4.0,Lee Unkrich,Won 2 Oscars,1
Zootopia,2016,4.0,Byron Howard & Rich Moore,Won 1 Oscar,1
Star Wars: Episode II – Attack of the Clones,2002,4.0,George Lucas,,0
Iron Man 3,2013,4.0,Shane Black,,0
Beautiful Boy,2018,4.0,Felix Van Groeningen,,0
Suicide Squad,2016,4.0,David Ayer,,0
Spider-Man 3,2007,4.0,Sam Raimi,,0
Moana,2016,4.0,Ron Clements & John Musker,Won 1 Oscar,1
Charlie and the Chocolate Factory,2005,4.0,Tim Burton,,0
Big Hero 6,2014,4.0,Don Hall & Chris Williams,Won 1 Oscar,1
Frozen,2013,4.0,Chris Buck & Jennifer Lee,Won 2 Oscars,1
Eternals,2021,4.0,Chloé Zhao,,0
Wonder Woman,2017,4.0,Patty Jenkins,,0
The Hunger Games: Mockingjay – Part 2,2015,4.0,Francis Lawrence,,0
The Amazing Spider-Man 2,2014,4.0,Marc Webb,,0
Casablanca,1942,4.0,Michael Curtiz,Won 3 Oscars,1
Good Time,2017,4.0,Benny & Josh Safdie,,0
Ready Player One,2018,4.0,Steven Spielberg,,0
The Lego Movie,2014,4.0,Phil Lord & Christopher Miller,,0
A Quiet Place Part II,2020,4.0,John Krasinski,,0
Gravity,2013,4.0,Alfonso Cuarón,Won 7 Oscars,1
Bird Box,2018,4.0,Susanne Bier,,0
Jurassic World,2015,4.0,Colin Trevorrow,,0
The Greatest Showman,2017,4.0,Michael Gracey,,0
Memento,2000,4.0,Christopher Nolan,,0
Inside Out 2,2024,4.0,Kemp Powers,,0
Fury,2014,4.0,David Ayer,,0
Godzilla Minus One,2023,4.0,Takashi Yamazaki,,0
Manchester by the Sea,2016,4.5,Kenneth Lonergan,Won 2 Oscars,1
Gladiator,2000,4.0,Ridley Scott,Won 5 Oscars,1
Zodiac,2007,4.0,David Fincher,,0
Prisoners,2013,4.5,Dennis Villeneuve,,0
The Martian,2015,4.0,Ridley Scott,,0
The Hunger Games: The Ballad of Songbirds & Snakes,2023,4.0,Francis Lawrence,,0
Avengers: Endgame,2019,4.0,Anthony & Joe Russo,Won 1 Oscar,1
The Social Network,2010,4.5,David Fincher,Won 3 Oscars,1
Puss in Boots: The Last Wish,2022,4.5,Joel Crawford & Januel Mercado,,0
Captain America: Civil War,2016,4.0,Anthony & Joe Russo,,0
Harry Potter and the Deathly Hallows: Part 2,2011,4.5,David Yates,,0
The Iron Claw,2023,4.5,Sean Durkin,,0
Logan,2017,4.5,James Mangold,,0
Luca,2021,4.0,Enrico Casarosa,,0
How to Train Your Dragon,2010,4.5,Dean DeBlois,,0
Cars,2006,4.0,John Lasseter,,0
Elvis,2022,4.5,Baz Luhrmann,,0
Kung Fu Panda,2008,4.5,Mark Osborne / John Stevenson,,0
"tick, tick... BOOM!",2021,4.5,Lin-Manuel Miranda,,0
Wreck-It Ralph,2012,4.0,Rich Moore,,0
We Live in Time,2024,4.0,,,0
Gladiator II,2024,4.0,,,0
Creed,2015,4.0,Ryan Coogler,,0
Moneyball,2011,4.0,Bennett Miller,,0
The Pursuit of Happyness,2006,4.5,Gabriele Muccino,,0
The Polar Express,2004,4.0,Robert Zemeckis,,0
Ricky Stanicky,2024,4.0,,,0
Creed III,2023,4.0,Michael B. Jordan,,0
Zack Snyder's Justice League,2021,4.5,,,0
Creed II,2018,4.5,Steven Caple Jr,,0
The Upside,2017,4.5,Neil Burger,,0
War for the Planet of the Apes,2017,4.5,Matt Reeves,,0
Sully,2016,4.0,Clint Eastwood,,0
Batman v Superman: Dawn of Justice,2016,4.5,Zack Snyder,,0
The Good Dinosaur,2015,4.0,Peter Sohn,,0
The Hobbit: The Battle of the Five Armies,2014,4.0,Peter Jackson,,0
Unbroken,2014,4.0,Angelina Jolie,,0
Edge of Tomorrow,2014,4.0,Doug Liman,,0
Rio 2,2014,4.0,,,0
The Hobbit: The Desolation of Smaug,2013,4.0,Peter Jackson,,0
Man of Steel,2013,4.5,Zack Snyder,,0
Now You See Me,2013,4.0,Louis Leterrier,,0
World War Z,2013,4.0,Marc Forster,,0
The Hobbit: An Unexpected Journey,2012,4.0,Peter Jackson,,0
Madagascar 3: Europe's Most Wanted,2012,4.0,Eric Darnell / Tom McGrath,,0
The Lorax,2012,4.5,Chris Renaud,,0
Real Steel,2011,4.0,Shawn Levy,,0
Rio,2011,4.0,Carlos Saldanha,,0
The Fighter,2010,4.0,David O Russell,Won 2 Oscars,1
Megamind,2010,4.5,Tom McGrath,,0
Despicable Me,2010,4.0,Pierre Coffin & Chris Renaud,,0
Shrek Forever After,2010,4.0,Mike Mitchell,,0
Tooth Fairy,2010,4.0,Michael Lembeck,,0
A Christmas Carol,2009,4.0,Robert Zemeckis,Won 1 Oscar,1
Bedtime Stories,2008,4.5,Adam Shankman,,0
Paul Blart: Mall Cop,2009,4.0,Steve Carr,,0
The Tale of Despereaux,2008,4.0,Sam Fell / Robert Stevenhagen,,0
Bolt,2008,4.0,Chris Williams / Byron Howard,,0
Quantum of Solace,2008,4.0,Marc Forster,,0
High School Musical 3: Senior Year,2008,4.5,Kenneth Branagh,,0
Horton Hears a Who!,2008,4.0,Jimmy Hayward / Steve Martino,,0
Bee Movie,2007,4.0,Simon J Smith / Steve Hickner,,0
Transformers,2007,4.0,Michael Bay,,0
Surf's Up,2007,4.5,Chris Buck / Ash Brannon,,0
Night at the Museum,2006,4.0,Shawn Levy,,0
Casino Royale,2006,4.0,Martin Campbell,,0
Everyone's Hero,2006,4.0,Raymond J. Lee,,0
Nacho Libre,2006,4.0,Jared Hess,,0
Over the Hedge,2006,4.0,Tim Johnson / Karey Kirkpatrick,,0
Shark Tale,2004,4.5,Rob Letterman / Bibo Bergeron,,0
8 Mile,2002,4.0,Curtis Hanson,Won 1 Oscar,1
The Lord of the Rings: The Return of the King,2003,4.5,Peter Jackson,Won 11 Oscars,1
Harry Potter and the Prisoner of Azkaban,2004,4.5,Alfonso Cuarón,,0
Friends with Benefits,2011,4.0,Will Gluck,,0
Meet the Robinsons,2007,4.5,Stephen Anderson,,0
Mickey 17,2025,4.5,,,0
One Battle After Another,2025,4.5,,,0
Superman,2025,4.0,James Gunn,,0
Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,4.5,Haruo Sotozaki,,0
The Departed,2006,4.0,Martin Scorsese,Won 4 Oscars,1
